ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
61	"ENSMUSG00000041187"	"Prkd2"	chr7	+	16597865	16597964	16599611	16599879	16592303	16592465	16603412	16603498	61	70,68,49,57	86,80,59,85	24,40,47,98	57,43,60,141	247	298	0.448068582505	1.0	0.495,0.506,0.5,0.447	0.337,0.529,0.486,0.456	0.035
62	"ENSMUSG00000026495"	"Efcab2"	chr1	+	178283380	178283453	178302446	178302526	178276348	178276593	178303249	178303292	62	153,118,134,119	341,249,328,253	118,84,94,244	257,164,251,537	221	228	0.964972178428	1.0	0.316,0.328,0.297,0.327	0.321,0.346,0.279,0.319	0.001
63	"ENSMUSG00000116048"	"Septin2"	chr1	+	93418878	93418999	93423300	93423387	93406714	93406790	93425062	93425186	63	1,3,2,1	354,378,330,326	0,0,0,2	286,165,267,432	269	235	1	1.0	0.002,0.007,0.005,0.003	0.0,0.0,0.0,0.004	0.003
64	"ENSMUSG00000054770"	"Kctd18"	chr1	-	57998301	57998404	58006655	58006882	57994259	57995979	58009179	58009243	64	11,3,4,3	25,22,11,18	4,2,3,4	12,7,21,27	298	251	0.321488568505	1.0	0.27,0.103,0.234,0.123	0.219,0.194,0.107,0.111	0.025
65	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58001059	58001154	58002226	58002420	57998301	57998404	58004509	58004699	65	3,2,1,4	17,23,15,25	1,0,1,1	15,18,13,31	298	243	1	1.0	0.126,0.066,0.052,0.115	0.052,0.0,0.059,0.026	0.056
66	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58001059	58001154	58004509	58004699	57998301	57998404	58006655	58006882	66	17,13,9,8	17,24,15,25	8,4,8,17	15,19,13,30	298	243	0.500862615017	1.0	0.449,0.306,0.329,0.207	0.303,0.147,0.334,0.316	0.048
67	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58002226	58002420	58004509	58004699	57998301	57998404	58006655	58006882	67	17,13,9,8	0,2,1,0	8,4,8,17	0,1,0,0	298	298	1	1.0	1.0,0.867,0.9,1.0	1.0,0.8,1.0,1.0	-0.008
68	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58002226	58002420	58004509	58004699	58001059	58001154	58006655	58006882	68	16,13,9,8	22,27,25,29	8,4,8,17	23,13,21,31	298	298	0.777891353896	1.0	0.421,0.325,0.265,0.216	0.258,0.235,0.276,0.354	0.026
69	"ENSMUSG00000032952"	"Ap4b1"	chr3	+	103725075	103725159	103726119	103726223	103722140	103722637	103727569	103727777	69	51,31,56,46	77,59,85,70	38,27,48,42	37,46,56,96	232	252	0.696354424096	1.0	0.418,0.363,0.417,0.416	0.527,0.389,0.482,0.322	-0.027
70	"ENSMUSG00000028100"	"Nudt17"	chr3	-	96615099	96615125	96615125	96615202	96614873	96614966	96615307	96615491	70	5,2,6,2	20,13,19,12	5,1,4,16	4,10,15,24	225	174	0.134800249567	0.802270477559	0.162,0.106,0.196,0.114	0.492,0.072,0.171,0.34	-0.124
71	"ENSMUSG00000002885"	"Adgre5"	chr8	-	84456739	84456886	84458531	84458666	84456010	84456154	84460042	84460195	71	96,101,69,59	224,195,205,140	55,30,55,96	135,96,156,263	283	295	0.195140321966	0.919599611418	0.309,0.351,0.26,0.305	0.298,0.246,0.269,0.276	0.034
72	"ENSMUSG00000002885"	"Adgre5"	chr8	-	84456739	84456886	84460042	84460195	84456010	84456154	84460637	84460754	72	330,326,290,283	170,142,143,92	181,140,239,349	95,69,121,180	298	295	0.180239290095	0.902787860698	0.658,0.694,0.668,0.753	0.654,0.668,0.662,0.657	0.033
73	"ENSMUSG00000024352"	"Spata24"	chr18	-	35793496	35793627	35793844	35793910	35793335	35793406	35795064	35795184	73	8,10,9,11	43,32,21,29	10,3,13,16	17,18,25,44	214	279	0.404032816364	1.0	0.195,0.289,0.358,0.331	0.434,0.179,0.404,0.322	-0.041
74	"ENSMUSG00000052395"	"Rft1"	chr14	+	30380265	30380351	30382153	30382270	30376316	30376432	30383227	30383417	74	12,4,6,8	32,14,24,18	3,4,5,7	24,11,25,20	234	265	0.250369315736	0.983856901632	0.298,0.244,0.221,0.335	0.124,0.292,0.185,0.284	0.053
75	"ENSMUSG00000052395"	"Rft1"	chr14	+	30404707	30404813	30411661	30411911	30401187	30401332	30412398	30413274	75	41,15,16,30	39,36,28,58	18,14,23,45	29,18,23,60	254	298	0.345846657951	1.0	0.552,0.328,0.401,0.378	0.421,0.477,0.54,0.468	-0.062
76	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107627206	107627291	107627661	107627747	107626906	107626995	107628917	107628990	76	215,128,138,157	0,4,8,11	123,65,145,255	5,0,7,8	234	233	0.793799446342	1.0	1.0,0.97,0.945,0.934	0.961,1.0,0.954,0.969	-0.009
77	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107627206	107627291	107627661	107627747	107626906	107626998	107628917	107628990	77	226,138,154,176	133,99,99,106	132,73,155,277	76,38,101,195	234	233	0.98023688368	1.0	0.629,0.581,0.608,0.623	0.634,0.657,0.604,0.586	-0.01
78	"ENSMUSG00000028800"	"Hdac1"	chr4	-	129422719	129422837	129428406	129428519	129418038	129418113	129436373	129436506	78	3,4,3,2	63,67,63,46	1,1,1,0	35,17,47,96	261	266	0.00877629635071	0.30572250572	0.046,0.057,0.046,0.042	0.028,0.057,0.021,0.0	0.021
79	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72413179	72413323	72413399	72413512	72412793	72413012	72413977	72414100	79	685,482,468,548	833,625,719,811	424,288,502,1074	572,374,600,1691	261	292	0.8963835684	1.0	0.479,0.463,0.421,0.431	0.453,0.463,0.483,0.415	-0.005
80	"ENSMUSG00000030562"	"Nox4"	chr7	+	86973140	86973203	86988164	86988225	86972840	86973005	87009935	87010017	80	2,0,5,1	4,3,4,3	3,1,2,4	1,2,2,5	211	209	0.206113035584	0.931527788489	0.331,0.0,0.553,0.248	0.748,0.331,0.498,0.442	-0.222
81	"ENSMUSG00000020650"	"Bcap29"	chr12	-	31650642	31650743	31667073	31667179	31640965	31646376	31674113	31674249	81	228,183,204,174	272,302,294,252	152,135,168,254	206,166,173,395	254	249	0.368876312844	1.0	0.451,0.373,0.405,0.404	0.42,0.444,0.488,0.387	-0.026
82	"ENSMUSG00000020650"	"Bcap29"	chr12	-	31667073	31667179	31674113	31674249	31650642	31650743	31676724	31676875	82	308,219,276,221	251,201,225,198	181,133,188,384	160,96,148,323	284	254	0.603965692673	1.0	0.523,0.494,0.523,0.5	0.503,0.553,0.532,0.515	-0.016
83	"ENSMUSG00000034621"	"Gpatch8"	chr11	-	102422138	102422156	102427937	102427972	102418919	102418992	102429107	102429182	83	0,2,1,0	13,5,9,5	0,0,0,3	8,4,4,5	183	166	0.737727028506	1.0	0.0,0.266,0.092,0.0	0.0,0.0,0.0,0.352	0.002
84	"ENSMUSG00000042082"	"Arsb"	chr13	+	93944003	93944211	93998594	93998838	93930535	93930726	94016995	94017066	84	26,37,20,37	65,42,53,48	36,18,41,57	30,31,42,83	298	298	0.116753419769	0.769420068907	0.286,0.468,0.274,0.435	0.545,0.367,0.494,0.407	-0.088
85	"ENSMUSG00000042082"	"Arsb"	chr13	+	93998594	93998838	94016995	94017066	93944003	93944211	94075734	94075857	85	64,51,53,54	9,27,17,21	30,21,40,81	11,11,13,27	298	219	0.702331699874	1.0	0.839,0.581,0.696,0.654	0.667,0.584,0.693,0.688	0.034
86	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25164892	25164945	25165741	25165862	25164273	25164305	25171222	25171498	86	153,121,121,136	1,1,0,0	94,53,101,149	1,0,0,0	269	201	1	1.0	0.991,0.989,1.0,1.0	0.986,1.0,1.0,1.0	-0.001
87	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25165741	25165862	25171222	25171498	25164273	25164305	25173944	25174229	87	8,9,13,8	62,40,38,28	11,4,17,16	29,12,32,44	298	269	0.0252928948601	0.470754424942	0.104,0.169,0.236,0.205	0.255,0.231,0.324,0.247	-0.086
88	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25171222	25171498	25173944	25174229	25164273	25165862	25175768	25176128	88	28,26,15,15	175,144,162,163	5,11,25,22	111,61,105,201	298	298	0.929369412576	1.0	0.138,0.153,0.085,0.084	0.043,0.153,0.192,0.099	-0.007
89	"ENSMUSG00000006288"	"Ttc5"	chr14	-	51010733	51010790	51012747	51012839	51009930	51010077	51014718	51014869	89	27,24,21,24	15,19,24,24	27,9,30,29	7,14,16,22	240	205	0.370319779832	1.0	0.606,0.519,0.428,0.461	0.767,0.354,0.616,0.53	-0.063
92	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109119124	109119200	109119674	109119849	109118791	109118855	109120807	109121574	92	1610,517,299,354	6,0,5,2	233,325,284,209	0,0,0,2	224	298	1	1.0	0.997,1.0,0.988,0.996	1.0,1.0,1.0,0.993	-0.003
94	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89187675	89187744	89188887	89189000	89187422	89187581	89189083	89189288	94	83,38,18,34	49,45,48,40	28,20,36,31	26,14,30,57	261	217	0.696412273534	1.0	0.585,0.412,0.238,0.414	0.472,0.543,0.499,0.311	-0.044
