ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	"ENSMUSG00000121485"	NA	chr13	-	12636246	12636396	12636246	12636297	12636378	12636396	20	82,78,76,83	3,1,2,1	67,158,66,57	0,8,0,1	229	149	0.839680282757	1.0	0.947,0.981,0.961,0.982	1.0,0.928,1.0,0.974	-0.008
26	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125613591	125613685	26	113,92,79,97	1173,1045,1057,1004	89,267,42,72	804,2441,517,576	221	149	0.0709652824181	0.667164056364	0.061,0.056,0.048,0.061	0.069,0.069,0.052,0.078	-0.011
27	"ENSMUSG00000030795"	"Fus"	chr7	+	127571725	127575092	127571725	127571942	127575059	127575092	27	177,138,144,145	8,6,11,4	101,431,101,116	5,24,3,3	298	149	0.751775762554	1.0	0.917,0.92,0.867,0.948	0.91,0.9,0.944,0.951	-0.013
28	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89313030	89312336	89312432	89312613	89313030	28	3,10,10,7	378,325,382,339	6,25,6,1	249,856,147,139	298	149	0.497937845704	1.0	0.004,0.015,0.013,0.01	0.012,0.014,0.02,0.004	-0.002
29	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89313030	89312336	89312432	89312916	89313030	29	24,27,23,17	2,0,0,0	21,59,12,13	0,2,0,0	298	149	1	1.0	0.857,1.0,1.0,1.0	1.0,0.937,1.0,1.0	-0.02
30	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312613	89312747	89312916	89313030	30	26,21,17,19	125,104,102,98	16,58,9,15	33,206,44,31	298	149	0.00934882322246	0.248628163538	0.094,0.092,0.077,0.088	0.195,0.123,0.093,0.195	-0.064
31	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312613	89312781	89312916	89313030	31	21,17,16,10	23,35,22,28	15,37,7,12	15,55,17,8	283	149	0.364547798606	1.0	0.325,0.204,0.277,0.158	0.345,0.262,0.178,0.441	-0.065
32	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119175634	119173531	119173574	119175535	119175634	32	36,36,28,30	513,356,443,371	31,82,21,30	278,994,192,252	298	149	0.0948196478317	0.77968690919	0.034,0.048,0.031,0.039	0.053,0.04,0.052,0.056	-0.012
33	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	97985958	97987885	97985958	97986019	97987754	97987885	33	21,15,16,18	95,62,56,63	29,48,6,6	64,125,43,41	298	149	0.352499945868	1.0	0.1,0.108,0.125,0.125	0.185,0.161,0.065,0.068	-0.005
34	"ENSMUSG00000020486"	"Septin4"	chr11	+	87474143	87474840	87474143	87474440	87474746	87474840	34	3,13,1,4	20,25,15,41	1,12,4,4	20,87,16,30	298	149	0.336215896637	1.0	0.07,0.206,0.032,0.047	0.024,0.065,0.111,0.063	0.023
35	"ENSMUSG00000020486"	"Septin4"	chr11	+	87479543	87479911	87479543	87479678	87479793	87479911	35	0,8,1,0	234,156,156,186	5,8,3,2	178,351,72,103	263	149	0.930446673137	1.0	0.0,0.028,0.004,0.0	0.016,0.013,0.023,0.011	-0.008
36	"ENSMUSG00000020486"	"Septin4"	chr11	+	87480481	87480881	87480481	87480644	87480781	87480881	36	19,14,9,16	332,192,201,268	11,36,14,15	149,417,115,143	285	149	0.0174333723392	0.319647920157	0.029,0.037,0.023,0.03	0.037,0.043,0.06,0.052	-0.018
37	"ENSMUSG00000020486"	"Septin4"	chr11	+	87480481	87480881	87480481	87480644	87480834	87480881	37	90,71,77,75	50,43,34,35	68,113,30,53	24,69,7,17	298	149	0.192881119973	1.0	0.474,0.452,0.531,0.517	0.586,0.45,0.682,0.609	-0.088
38	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89247807	89248037	89247807	89247892	89247968	89248037	38	11,2,9,5	338,279,326,294	5,18,3,2	245,720,190,242	224	149	0.804357882302	1.0	0.021,0.005,0.018,0.011	0.013,0.016,0.01,0.005	0.003
39	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254597	89254878	89254597	89254691	89254803	89254878	39	11,5,3,2	77,64,60,71	5,12,2,1	62,191,35,37	260	149	0.525039645909	1.0	0.076,0.043,0.028,0.016	0.044,0.035,0.032,0.015	0.009
40	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254597	89254878	89254597	89254691	89254806	89254878	40	17,7,6,7	425,371,384,348	6,15,5,4	225,757,154,256	263	149	0.647180044228	1.0	0.022,0.011,0.009,0.011	0.015,0.011,0.018,0.009	0.0
41	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254955	89255196	89254955	89255011	89255094	89255196	41	19,11,11,13	229,207,200,196	12,31,7,12	136,499,118,132	231	149	0.658336949824	1.0	0.051,0.033,0.034,0.041	0.054,0.039,0.037,0.055	-0.006
43	"ENSMUSG00000062006"	"Rpl34"	chr3	-	130522699	130522951	130522699	130522799	130522877	130522951	43	0,0,2,3	2354,1811,1913,1542	1,13,3,1	1474,5061,1157,1241	226	149	1	1.0	0.0,0.0,0.001,0.001	0.0,0.002,0.002,0.001	-0.001
44	"ENSMUSG00000027776"	"Il12a"	chr3	+	68602522	68602679	68602522	68602564	68602637	68602679	44	1,1,2,0	1,0,3,0	1,0,2,0	2,3,0,0	221	149	1	1.0	0.403,1.0,0.31,NA	0.252,0.0,1.0,NA	0.154
46	"ENSMUSG00000034187"	"Nsf"	chr11	-	103804141	103804734	103804141	103804217	103804626	103804734	46	3,2,1,0	72,80,74,65	0,0,0,0	42,165,36,37	298	149	1	1.0	0.02,0.012,0.007,0.0	0.0,0.0,0.0,0.0	0.01
47	"ENSMUSG00000075232"	"Amd1"	chr10	-	40166113	40166611	40166113	40166269	40166373	40166611	47	2,0,3,2	912,654,832,761	0,8,2,3	571,1885,598,519	252	149	1	1.0	0.001,0.0,0.002,0.002	0.0,0.003,0.002,0.003	-0.001
48	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35981548	35981854	35981548	35981637	35981757	35981854	48	8,1,6,3	43,45,38,40	8,9,5,3	18,52,26,20	268	149	0.0359483718148	0.476152651665	0.094,0.012,0.081,0.04	0.198,0.088,0.097,0.077	-0.058
50	"ENSMUSG00000027610"	"Gss"	chr2	-	155408722	155409807	155408722	155408804	155409612	155409807	50	2,1,0,1	61,34,32,33	1,1,0,1	25,80,25,39	298	149	1	1.0	0.016,0.014,0.0,0.015	0.02,0.006,0.0,0.013	0.001
51	"ENSMUSG00000027610"	"Gss"	chr2	-	155408722	155409807	155408722	155408804	155409702	155409807	51	25,13,20,22	0,4,0,0	13,26,9,9	0,0,0,0	298	149	0.447811106245	1.0	1.0,0.619,1.0,1.0	1.0,1.0,1.0,1.0	-0.095
52	"ENSMUSG00000027610"	"Gss"	chr2	-	155420208	155420707	155420208	155420348	155420631	155420707	52	4,0,0,1	50,48,67,26	0,2,0,0	55,134,16,39	298	149	1	1.0	0.038,0.0,0.0,0.019	0.0,0.007,0.0,0.0	0.012
53	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927337	22927601	22927337	22927383	22927468	22927601	53	28,27,48,48	1025,748,812,807	16,89,23,16	607,2059,482,571	233	149	0.244515705535	1.0	0.017,0.023,0.036,0.037	0.017,0.027,0.03,0.018	0.005
54	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22928734	22929093	22928734	22928903	22928983	22929093	54	20,23,45,40	2213,1807,1913,2047	15,75,19,16	1620,4878,1100,1435	228	149	0.530794561645	1.0	0.006,0.008,0.015,0.013	0.006,0.01,0.011,0.007	0.002
55	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929329	22930013	22929329	22929473	22929875	22930013	55	56,44,63,77	1657,1315,1445,1502	51,131,43,44	1409,4055,914,1197	298	149	0.408687593692	1.0	0.017,0.016,0.021,0.025	0.018,0.016,0.023,0.018	0.001
56	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929875	22930342	22929875	22930013	22930252	22930342	56	29,31,50,45	2722,2116,2100,2374	23,103,23,24	2117,5878,1478,1748	298	149	1	1.0	0.005,0.007,0.012,0.009	0.005,0.009,0.008,0.007	0.001
57	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44212497	44213191	44212497	44212739	44213071	44213191	57	1,1,1,0	52,61,36,52	0,7,0,2	47,187,37,31	298	149	0.883478607608	1.0	0.01,0.008,0.014,0.0	0.0,0.018,0.0,0.031	-0.004
59	"ENSMUSG00000079553"	"Kifc1"	chr17	-	34103562	34104192	34103562	34103960	34104141	34104192	59	0,0,0,0	5,10,4,3	0,1,0,0	1,2,1,3	298	149	1	1.0	0.0,0.0,0.0,0.0	0.0,0.2,0.0,0.0	-0.05
61	"ENSMUSG00000042328"	"Hps4"	chr5	+	112517320	112518610	112517320	112517417	112517811	112518610	61	3,0,4,0	17,16,17,7	0,2,1,0	8,45,10,20	298	149	0.150455932764	0.986990918932	0.081,0.0,0.105,0.0	0.0,0.022,0.048,0.0	0.029
62	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107628917	107629152	107628917	107628990	107629074	107629152	62	3,2,4,0	307,196,240,207	0,1,2,0	227,508,136,143	232	149	1	1.0	0.006,0.007,0.011,0.0	0.0,0.001,0.009,0.0	0.004
63	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107634107	107637590	107634107	107634191	107637520	107637590	63	92,41,47,47	8,6,15,6	57,170,27,29	14,13,5,7	298	149	0.995592682258	1.0	0.852,0.774,0.61,0.797	0.671,0.867,0.73,0.674	0.023
64	"ENSMUSG00000011877"	"Git1"	chr11	+	77394181	77394844	77394181	77394254	77394746	77394844	64	1,0,1,2	135,160,154,137	2,4,0,3	136,357,85,118	298	149	1	1.0	0.004,0.0,0.003,0.007	0.007,0.006,0.0,0.013	-0.003
65	"ENSMUSG00000011877"	"Git1"	chr11	+	77396329	77396579	77396329	77396416	77396505	77396579	65	2,5,1,0	162,126,116,123	3,4,1,1	72,272,72,78	237	149	1	1.0	0.008,0.024,0.005,0.0	0.026,0.009,0.009,0.008	-0.004
66	"ENSMUSG00000079197"	"Psme2"	chr14	-	55825110	55825551	55825110	55825197	55825496	55825551	66	3,2,7,4	525,363,417,415	2,3,2,1	316,1058,251,307	298	149	1	1.0	0.003,0.003,0.008,0.005	0.003,0.001,0.004,0.002	0.002
67	"ENSMUSG00000079197"	"Psme2"	chr14	-	55826937	55827162	55826937	55826968	55827075	55827162	67	12,16,13,8	640,511,553,542	16,34,7,11	459,1469,284,305	255	149	0.246478640972	1.0	0.011,0.018,0.014,0.009	0.02,0.013,0.014,0.021	-0.004
68	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72409781	72412097	72409781	72411378	72411963	72412097	68	27,15,20,26	428,365,399,428	12,53,7,13	285,866,198,234	298	149	0.866879023167	1.0	0.031,0.02,0.024,0.029	0.021,0.03,0.017,0.027	0.002
69	"ENSMUSG00000053907"	"Mat2a"	chr6	-	72413977	72414431	72413977	72414100	72414353	72414431	69	8,1,8,10	687,448,439,581	3,48,8,8	309,1235,286,290	298	149	0.0308068706984	0.441465448066	0.006,0.001,0.009,0.009	0.005,0.019,0.014,0.014	-0.007
72	"ENSMUSG00000070034"	"Sp110"	chr1	-	85506777	85507466	85506777	85506920	85507364	85507466	72	6,10,7,5	67,50,47,38	12,22,3,9	20,42,15,17	298	149	1.19370102937e-05	0.00542436877614	0.043,0.091,0.069,0.062	0.231,0.208,0.091,0.209	-0.118
73	"ENSMUSG00000070034"	"Sp110"	chr1	-	85512623	85514016	85512623	85512773	85513935	85514016	73	3,5,3,0	37,34,39,35	2,6,1,2	27,51,8,18	298	149	0.561139855522	1.0	0.039,0.068,0.037,0.0	0.036,0.056,0.059,0.053	-0.015
74	"ENSMUSG00000042487"	"Leo1"	chr9	+	75354383	75355678	75354383	75354488	75355583	75355678	74	1,0,0,0	51,48,39,41	0,0,0,0	40,108,17,32	298	149	1	1.0	0.01,0.0,0.0,0.0	0.0,0.0,0.0,0.0	0.003
75	"ENSMUSG00000042487"	"Leo1"	chr9	+	75362922	75364475	75362922	75363057	75364339	75364475	75	0,1,1,1	69,43,31,33	0,12,0,0	35,80,30,34	298	149	0.0641228579109	0.630564856458	0.0,0.011,0.016,0.015	0.0,0.07,0.0,0.0	-0.007
76	"ENSMUSG00000078762"	"Haus5"	chr7	-	30358487	30358838	30358487	30358551	30358713	30358838	76	3,1,1,4	38,22,23,38	1,8,4,1	12,45,5,14	298	149	0.0770777417241	0.708029165028	0.038,0.022,0.021,0.05	0.04,0.082,0.286,0.034	-0.078
77	"ENSMUSG00000031505"	"Naxd"	chr8	+	11559321	11559557	11559321	11559372	11559452	11559557	77	12,10,6,7	244,197,227,202	2,19,7,12	186,561,112,130	228	149	0.954839253034	1.0	0.031,0.032,0.017,0.022	0.007,0.022,0.039,0.057	-0.006
81	"ENSMUSG00000074415"	"Mir100hg"	chr9	+	41524578	41526481	41524578	41524777	41526036	41526481	81	0,1,1,2	0,0,0,0	0,4,0,0	0,5,0,0	298	149	1	1.0	NA,1.0,1.0,1.0	NA,0.286,NA,NA	0.714
84	"ENSMUSG00000074272"	"Ceacam1"	chr7	-	25164273	25165862	25164273	25164305	25165741	25165862	84	12,6,7,4	65,43,45,32	6,10,10,6	59,116,23,34	298	149	0.845110810389	1.0	0.085,0.065,0.072,0.059	0.048,0.041,0.179,0.081	-0.017
88	"ENSMUSG00000053553"	"3110082I17Rik"	chr5	-	139345493	139347143	139345493	139346485	139347061	139347143	88	1,0,0,0	33,23,24,11	2,3,0,1	9,63,6,24	298	149	0.572638628509	1.0	0.015,0.0,0.0,0.0	0.1,0.023,0.0,0.02	-0.032
89	"ENSMUSG00000046364"	"Rpl27a"	chr7	+	109118791	109119200	109118791	109118855	109119124	109119200	89	12,5,5,3	3132,1052,636,756	4,12,4,4	332,2573,592,961	298	149	1	1.0	0.002,0.002,0.004,0.002	0.006,0.002,0.003,0.002	-0.001
90	"ENSMUSG00000032553"	"Srprb"	chr9	-	103074736	103076065	103074736	103074819	103075987	103076065	90	4,11,14,9	184,178,140,122	7,17,0,7	110,352,72,98	298	149	0.372569803858	1.0	0.011,0.03,0.048,0.036	0.031,0.024,0.0,0.034	0.009
93	"ENSMUSG00000036529"	"Sbf1"	chr15	-	89186045	89186580	89186045	89186173	89186384	89186580	93	1,4,1,6	90,49,81,61	0,4,2,1	68,177,27,45	298	149	0.43243048596	1.0	0.006,0.039,0.006,0.047	0.0,0.011,0.036,0.011	0.01
94	"ENSMUSG00000014856"	"Tmem208"	chr8	+	106054953	106055324	106054953	106055090	106055239	106055324	94	8,7,2,13	104,104,100,92	6,8,7,8	117,272,80,88	297	149	0.246354983398	1.0	0.037,0.033,0.01,0.066	0.025,0.015,0.042,0.044	0.005
95	"ENSMUSG00000014856"	"Tmem208"	chr8	+	106054953	106055324	106054953	106055116	106055239	106055324	95	4,5,0,5	13,8,13,10	1,4,3,1	10,32,11,16	271	149	0.0690416557482	0.659582419963	0.145,0.256,0.0,0.216	0.052,0.064,0.13,0.033	0.084
96	"ENSMUSG00000022685"	"Parn"	chr16	-	13482519	13483845	13482519	13482601	13483765	13483845	96	2,0,0,1	0,0,0,1	0,3,1,0	0,0,0,1	298	149	1	1.0	1.0,NA,NA,0.333	NA,1.0,1.0,0.0	-0.0
97	"ENSMUSG00000031398"	"Plxna3"	chrX	+	73377351	73377954	73377351	73377452	73377830	73377954	97	0,0,0,0	4,1,0,0	1,0,0,0	1,5,0,2	298	149	1	1.0	0.0,0.0,NA,NA	0.333,0.0,NA,0.0	-0.111
100	"ENSMUSG00000040054"	"Baz2a"	chr10	+	127950893	127952038	127950893	127950954	127951929	127952038	100	4,7,11,6	89,64,77,53	12,24,8,1	41,137,21,36	298	149	0.0132137013484	0.288090476601	0.022,0.052,0.067,0.054	0.128,0.081,0.16,0.014	-0.047
103	"ENSMUSG00000027667"	"Zfp639"	chr3	+	32569432	32571288	32569432	32569501	32571177	32571288	103	1,9,1,4	97,85,82,82	6,13,1,4	61,219,56,68	298	149	0.272595646592	1.0	0.005,0.05,0.006,0.024	0.047,0.029,0.009,0.029	-0.007
104	"ENSMUSG00000003226"	"Ranbp2"	chr10	+	58291040	58291776	58291040	58291271	58291630	58291776	104	0,0,0,0	90,63,55,60	0,1,0,0	48,167,22,65	298	149	1	1.0	0.0,0.0,0.0,0.0	0.0,0.003,0.0,0.0	-0.001
105	"ENSMUSG00000031511"	"Arhgef7"	chr8	+	11831154	11832655	11831154	11831239	11832524	11832655	105	5,10,3,8	184,157,132,92	3,9,4,0	75,228,47,72	298	149	0.41579605097	1.0	0.013,0.031,0.011,0.042	0.02,0.019,0.041,0.0	0.004
106	"ENSMUSG00000039220"	"Ppp1r10"	chr17	+	36238801	36239221	36238801	36238902	36239073	36239221	106	0,0,0,0	65,45,47,76	0,2,0,0	29,138,20,28	298	149	1	1.0	0.0,0.0,0.0,0.0	0.0,0.007,0.0,0.0	-0.002
107	"ENSMUSG00000031388"	"Naa10"	chrX	-	72963107	72963475	72963107	72963146	72963359	72963475	107	22,18,19,22	8,5,9,10	7,52,3,7	10,15,2,16	298	149	0.0530106493634	0.571122032558	0.579,0.643,0.514,0.524	0.259,0.634,0.429,0.179	0.19
108	"ENSMUSG00000031388"	"Naa10"	chrX	-	72963107	72963475	72963107	72963152	72963359	72963475	108	11,9,8,13	508,343,346,344	4,17,3,3	282,883,212,262	298	149	0.375187123096	1.0	0.011,0.013,0.011,0.019	0.007,0.01,0.007,0.006	0.006
110	"ENSMUSG00000022978"	"Mis18a"	chr16	-	90516199	90517638	90516199	90516866	90517541	90517638	110	0,0,0,0	19,17,16,23	3,0,0,0	13,21,12,14	298	149	1	1.0	0.0,0.0,0.0,0.0	0.103,0.0,0.0,0.0	-0.026
111	"ENSMUSG00000022978"	"Mis18a"	chr16	-	90523180	90524292	90523180	90523247	90523913	90524292	111	0,0,0,0	18,11,5,5	1,0,0,0	4,12,3,10	298	149	1	1.0	0.0,0.0,0.0,0.0	0.111,0.0,0.0,0.0	-0.028
112	"ENSMUSG00000022554"	"Hgh1"	chr15	+	76254055	76254453	76254055	76254154	76254361	76254453	112	0,1,0,0	17,20,24,12	0,7,1,4	5,63,10,8	298	149	0.00191241619143	0.0918623605632	0.0,0.024,0.0,0.0	0.0,0.053,0.048,0.2	-0.069
114	"ENSMUSG00000021486"	"Prelid1"	chr13	+	55472143	55472418	55472143	55472257	55472339	55472418	114	9,13,12,7	502,421,386,352	9,17,14,5	248,735,170,177	230	149	0.159351951868	1.0	0.011,0.02,0.02,0.013	0.023,0.015,0.051,0.018	-0.011
115	"ENSMUSG00000031232"	"Magt1"	chrX	-	105011689	105015085	105011689	105014632	105015041	105015085	115	64,68,65,62	41,37,14,14	64,207,33,59	46,75,33,23	298	149	0.193040043284	1.0	0.438,0.479,0.699,0.689	0.41,0.58,0.333,0.562	0.105
122	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89069564	89069850	89069564	89069667	89069740	89069850	122	4,7,5,11	116,104,86,69	3,21,0,2	60,259,47,75	221	149	0.44187668579	1.0	0.023,0.043,0.038,0.097	0.033,0.052,0.0,0.018	0.025
123	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89069564	89070250	89069564	89069850	89070196	89070250	123	6,4,5,6	57,29,46,37	4,22,1,3	28,105,19,32	298	149	0.401472646307	1.0	0.05,0.065,0.052,0.075	0.067,0.095,0.026,0.045	0.002
124	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89070374	89071022	89070374	89070464	89070565	89071022	124	8,1,6,5	90,59,81,61	5,11,1,5	45,196,28,40	249	149	0.944530154473	1.0	0.051,0.01,0.042,0.047	0.062,0.032,0.021,0.07	-0.009
125	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89070374	89071022	89070374	89070464	89070956	89071022	125	8,0,8,6	0,1,0,0	6,24,5,5	2,1,1,0	298	149	0.677471331985	1.0	1.0,0.0,1.0,1.0	0.6,0.923,0.714,1.0	-0.059
126	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89070565	89071022	89070565	89070630	89070956	89071022	126	17,3,8,9	89,71,98,74	6,42,6,2	69,233,38,39	298	149	0.242128931089	1.0	0.087,0.021,0.039,0.057	0.042,0.083,0.073,0.025	-0.005
127	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89070565	89071446	89070565	89070630	89071158	89071446	127	16,3,4,7	2,0,0,0	5,35,1,3	0,0,0,0	298	149	1	1.0	0.8,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.05
128	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89071158	89071446	89071158	89071201	89071350	89071446	128	44,29,41,28	2,1,2,3	38,117,26,22	0,9,0,1	297	149	0.607151159009	1.0	0.917,0.936,0.911,0.824	1.0,0.867,1.0,0.917	-0.049
129	"ENSMUSG00000015377"	"Dennd6b"	chr15	-	89071158	89071446	89071158	89071253	89071350	89071446	129	11,11,12,9	39,29,32,37	14,42,3,12	24,58,17,18	245	149	0.0300377331241	0.434663667561	0.146,0.187,0.186,0.129	0.262,0.306,0.097,0.288	-0.076
130	"ENSMUSG00000063800"	"Prpf38a"	chr4	-	108425554	108427463	108425554	108425667	108427352	108427463	130	0,0,0,1	107,95,98,94	1,1,3,1	115,263,54,72	298	149	1	1.0	0.0,0.0,0.0,0.005	0.004,0.002,0.027,0.007	-0.009
132	"ENSMUSG00000079179"	"Rab10os"	chr12	+	3285510	3287412	3285510	3285929	3287284	3287412	132	2,0,1,0	35,14,24,19	0,0,0,1	12,72,12,14	298	149	1	1.0	0.028,0.0,0.02,0.0	0.0,0.0,0.0,0.034	0.003
133	"ENSMUSG00000079179"	"Rab10os"	chr12	+	3285510	3287412	3285510	3285929	3287346	3287412	133	40,18,20,16	10,10,4,1	7,65,11,14	3,16,2,1	298	149	0.670437932395	1.0	0.667,0.474,0.714,0.889	0.538,0.67,0.733,0.875	-0.018
135	"ENSMUSG00000005481"	"Ddx39a"	chr8	+	84448362	84448990	84448362	84448481	84448858	84448990	135	7,1,0,0	158,104,93,90	12,18,1,2	97,239,60,79	298	149	0.000143704446582	0.0249538544888	0.022,0.005,0.0,0.0	0.058,0.036,0.008,0.012	-0.022
136	"ENSMUSG00000031601"	"Cnot7"	chr8	-	40952335	40953954	40952335	40952480	40953792	40953954	136	14,15,9,9	249,202,184,175	12,27,6,2	169,390,109,95	298	149	0.902413651909	1.0	0.027,0.036,0.024,0.025	0.034,0.033,0.027,0.01	0.002
139	"ENSMUSG00000027889"	"Ampd2"	chr3	-	107982564	107983020	107982564	107982675	107982846	107983020	139	2,0,0,0	20,12,8,17	1,1,1,0	5,9,3,7	298	149	1	1.0	0.048,0.0,0.0,0.0	0.091,0.053,0.143,0.0	-0.06
140	"ENSMUSG00000027889"	"Ampd2"	chr3	-	107986500	107987089	107986500	107986642	107986902	107987089	140	0,3,0,0	14,12,10,4	0,0,2,0	5,22,3,3	298	149	1	1.0	0.0,0.111,0.0,0.0	0.0,0.0,0.25,0.0	-0.035
141	"ENSMUSG00000027889"	"Ampd2"	chr3	-	107987582	107988090	107987582	107987651	107987959	107988090	141	6,0,2,1	18,19,11,14	0,6,0,3	17,27,6,9	298	149	0.69453663471	1.0	0.143,0.0,0.083,0.034	0.0,0.1,0.0,0.143	0.004
142	"ENSMUSG00000032409"	"Atr"	chr9	+	95747020	95749738	95747020	95747898	95749546	95749738	142	1,0,0,0	0,0,0,1	1,0,0,0	0,0,0,1	298	149	1	1.0	1.0,NA,NA,0.0	1.0,NA,NA,0.0	0.0
143	"ENSMUSG00000022515"	"Anks3"	chr16	-	4765512	4766227	4765512	4765622	4766089	4766227	143	1,0,1,1	45,38,41,44	0,2,1,0	30,85,21,49	298	149	1	1.0	0.011,0.0,0.012,0.011	0.0,0.012,0.023,0.0	-0.0
146	"ENSMUSG00000030357"	"Fkbp4"	chr6	-	128410488	128410756	128410488	128410572	128410665	128410756	146	28,22,27,30	2904,2416,2264,2269	27,53,26,14	2026,5578,1422,1521	241	149	1	1.0	0.006,0.006,0.007,0.008	0.008,0.006,0.011,0.006	-0.001
151	"ENSMUSG00000004455"	"Ppp1cc"	chr5	+	122310794	122311343	122310794	122310866	122311208	122311343	151	302,266,327,301	8,6,3,8	225,655,126,177	7,7,6,1	298	149	0.591502313499	1.0	0.95,0.957,0.982,0.95	0.941,0.979,0.913,0.989	0.004
